gender	Age	Attitude	deep	surface	strategic	Points
F	53	37	3.58333333333333	3.58333333333333	3.58333333333333	25
M	55	31	2.91666666666667	2.91666666666667	2.91666666666667	12
F	49	25	3.5	3.5	3.5	24
M	53	35	3.5	3.5	3.5	10
M	49	37	3.66666666666667	3.66666666666667	3.66666666666667	22
F	38	38	4.75	4.75	4.75	21
M	50	35	3.83333333333333	3.83333333333333	3.83333333333333	21
F	37	29	3.25	3.25	3.25	31
M	37	38	4.33333333333333	4.33333333333333	4.33333333333333	24
F	42	21	4	4	4	26
M	37	39	3.58333333333333	3.58333333333333	3.58333333333333	31
F	34	38	3.83333333333333	3.83333333333333	3.83333333333333	31
F	34	24	4.25	4.25	4.25	23
F	34	30	3.33333333333333	3.33333333333333	3.33333333333333	25
M	35	26	4.16666666666667	4.16666666666667	4.16666666666667	21
F	33	41	3.66666666666667	3.66666666666667	3.66666666666667	31
F	32	26	4.08333333333333	4.08333333333333	4.08333333333333	20
F	44	26	3.5	3.5	3.5	22
M	29	17	4.08333333333333	4.08333333333333	4.08333333333333	9
F	30	27	4	4	4	24
M	27	39	3.91666666666667	3.91666666666667	3.91666666666667	28
M	29	34	4	4	4	30
F	31	27	4	4	4	24
F	37	23	3.66666666666667	3.66666666666667	3.66666666666667	9
F	26	37	3.66666666666667	3.66666666666667	3.66666666666667	26
F	26	44	4.41666666666667	4.41666666666667	4.41666666666667	32
M	30	41	3.91666666666667	3.91666666666667	3.91666666666667	32
F	33	37	3.75	3.75	3.75	33
F	33	25	3.25	3.25	3.25	29
M	28	30	3.58333333333333	3.58333333333333	3.58333333333333	30
M	26	34	4.91666666666667	4.91666666666667	4.91666666666667	19
F	27	32	3.58333333333333	3.58333333333333	3.58333333333333	23
F	25	20	2.91666666666667	2.91666666666667	2.91666666666667	19
F	31	24	3.66666666666667	3.66666666666667	3.66666666666667	12
M	20	42	4.5	4.5	4.5	10
F	39	16	4.08333333333333	4.08333333333333	4.08333333333333	11
M	38	31	3.83333333333333	3.83333333333333	3.83333333333333	20
M	24	38	3.25	3.25	3.25	26
M	26	38	2.33333333333333	2.33333333333333	2.33333333333333	31
M	25	33	3.33333333333333	3.33333333333333	3.33333333333333	20
F	30	17	4.08333333333333	4.08333333333333	4.08333333333333	23
F	25	25	2.91666666666667	2.91666666666667	2.91666666666667	12
M	30	32	3.33333333333333	3.33333333333333	3.33333333333333	24
F	48	35	3.83333333333333	3.83333333333333	3.83333333333333	17
F	24	32	3.66666666666667	3.66666666666667	3.66666666666667	29
F	40	42	4.66666666666667	4.66666666666667	4.66666666666667	23
M	25	31	3.75	3.75	3.75	28
F	23	39	3.41666666666667	3.41666666666667	3.41666666666667	31
F	25	19	4.16666666666667	4.16666666666667	4.16666666666667	23
F	23	21	2.91666666666667	2.91666666666667	2.91666666666667	25
M	27	25	4.16666666666667	4.16666666666667	4.16666666666667	18
M	25	32	3.58333333333333	3.58333333333333	3.58333333333333	19
M	23	32	2.83333333333333	2.83333333333333	2.83333333333333	22
F	23	26	4	4	4	25
F	23	23	2.91666666666667	2.91666666666667	2.91666666666667	21
F	45	38	3	3	3	9
